393322.720356735,21647.4372642247,43009.8108039588
393327.631690501,21645.6746426972,43027.9084401522
393332.542018708,21643.9074154222,43045.9989235311
393337.451340922,21642.135586045,43064.0822572131
393342.359656712,21640.3591582058,43082.1584443116
393347.266965643,21638.5781355398,43100.227487936
393352.173267286,21636.7925216775,43118.2893911918
393357.078561208,21635.0023202442,43136.3441571801
393361.982846978,21633.2075348606,43154.3917889982
393366.886124166,21631.4081691421,43172.4322897393
393371.788392341,21629.6042266997,43190.4656624926
393376.689651073,21627.7957111391,43208.4919103432
393381.589899934,21625.9826260615,43226.5110363723
393386.489138494,21624.164975063,43244.523043657
393391.387366324,21622.342761735,43262.5279352703
393396.284582997,21620.5159896638,43280.5257142815
393401.180788084,21618.6846624312,43298.5163837556
393406.075981158,21616.848783614,43316.4999467538
393410.970161792,21615.0083567843,43334.4764063331
393415.86332956,21613.1633855093,43352.4457655468
393420.755484035,21611.3138733515,43370.4080274441
393425.646624791,21609.4598238686,43388.3631950702
393430.536751404,21607.6012406136,43406.3112714666
393435.425863447,21605.7381271347,43424.2522596705
393440.313960498,21603.8704869754,43442.1861627154
393445.20104213,21601.9983236743,43460.1129836308
393450.087107921,21600.1216407655,43478.0327254423
393454.972157448,21598.2404417782,43495.9453911715
393459.856190286,21596.3547302371,43513.8509838361
393464.739206014,21594.4645096619,43531.74950645
393469.621204209,21592.5697835679,43549.6409620231
393474.50218445,21590.6705554657,43567.5253535615
393479.382146315,21588.7668288612,43585.4026840674
393484.261089383,21586.8586072556,43603.2729565392
393489.139013233,21584.9458941456,43621.1361739711
393494.015917446,21583.0286930229,43638.9923393538
393498.891801601,21581.1070073751,43656.8414556739
393503.766665279,21579.1808406847,43674.6835259144
393508.640508061,21577.2501964299,43692.5185530541
393513.513329528,21575.3150780841,43710.3465400683
393518.385129261,21573.3754891164,43728.1674899283
393523.255906844,21571.4314329911,43745.9814056016
393528.125661858,21569.4829131681,43763.7882900519
393532.994393887,21567.5299331025,43781.5881462391
393537.862102513,21565.5724962451,43799.3809771193
393542.728787321,21563.610606042,43817.1667856448
393547.594447894,21561.6442659349,43834.9455747639
393552.459083817,21559.6734793608,43852.7173474215
393557.322694674,21557.6982497523,43870.4821065584
393562.185280051,21555.7185805376,43888.2398551117
393567.046839534,21553.7344751403,43905.9905960148
393571.907372708,21551.7459369795,43923.7343321974
393576.76687916,21549.7529694698,43941.4710665852
393581.625358476,21547.7555760216,43959.2008021004
393586.482810244,21545.7537600406,43976.9235416615
393591.339234051,21543.7475249281,43994.6392881829
393596.194629485,21541.736874081,44012.3480445756
393601.048996135,21539.7218108916,44030.0498137468
393605.902333588,21537.7023387482,44047.7445985999
393610.754641434,21535.6784610341,44065.4324020347
393615.605919263,21533.6501811288,44083.1132269472
393620.456166664,21531.617502407,44100.7870762296
393625.305383227,21529.5804282392,44118.4539527708
393630.153568543,21527.5389619916,44136.1138594557
393635.000722203,21525.493107026,44153.7667991655
393639.846843798,21523.4428666996,44171.4127747779
393644.691932919,21521.3882443656,44189.0517891668
393649.53598916,21519.3292433726,44206.6838452025
393654.379012111,21517.2658670651,44224.3089457516
393659.221001367,21515.1981187831,44241.9270936772
393664.06195652,21513.1260018623,44259.5382918384
393668.901877164,21511.0495196342,44277.142543091
393673.740762893,21508.9686754261,44294.7398502871
393678.5786133,21506.8834725608,44312.3302162751
393683.415427981,21504.793914357,44329.9136438999
393688.251206531,21502.7000041291,44347.4901360026
393693.085948545,21500.6017451871,44365.0596954209
393697.919653619,21498.499140837,44382.6223249888
393702.752321349,21496.3921943804,44400.1780275367
393707.583951331,21494.2809091146,44417.7268058913
393712.414543163,21492.1652883329,44435.268662876
393717.244096442,21490.0453353242,44452.8036013103
393722.072610765,21487.9210533733,44470.3316240104
393726.90008573,21485.7924457608,44487.8527337886
393731.726520936,21483.659515763,44505.3669334541
393736.551915981,21481.5222666524,44522.8742258123
393741.376270465,21479.3807016969,44540.374613665
393746.199583987,21477.2348241604,44557.8680998105
393751.021856146,21475.0846373026,44575.3546870437
393755.843086544,21472.9301443792,44592.8343781557
393760.66327478,21470.7713486416,44610.3071759343
393765.482420456,21468.6082533372,44627.7730831637
393770.300523172,21466.4408617091,44645.2321026245
393775.117582531,21464.2691769966,44662.684237094
393779.933598134,21462.0932024346,44680.1294893459
393784.748569584,21459.9129412541,44697.5678621503
393789.562496483,21457.728396682,44714.999358274
393794.375378435,21455.5395719411,44732.4239804802
393799.187215043,21453.34647025,44749.8417315287
393803.99800591,21451.1490948235,44767.2526141757
393808.807750642,21448.9474488721,44784.656631174
393813.616448842,21446.7415356023,44802.053785273
393818.424100116,21444.5313582168,44819.4440792186
393823.230704068,21442.3169199139,44836.8275157531
393828.036260304,21440.0982238882,44854.2040976156
393832.840768431,21437.8752733302,44871.5738275416
393837.644228054,21435.6480714264,44888.9367082633
393842.44663878,21433.4166213592,44906.2927425094
393847.248000217,21431.1809263072,44923.6419330052
393852.048311971,21428.940989445,44940.9842824725
393856.84757365,21426.696813943,44958.3197936298
393861.645784863,21424.4484029678,44975.6484691921
393866.442945217,21422.1957596822,44992.9703118712
393871.239054322,21419.9388872447,45010.2853243752
393876.034111787,21417.6777888102,45027.5935094089
393880.828117221,21415.4124675294,45044.894869674
393885.621070235,21413.1429265493,45062.1894078684
393890.412970437,21410.8691690129,45079.477126687
393895.203817439,21408.5911980594,45096.7580288211
393899.993610853,21406.309016824,45114.0321169587
393904.782350288,21404.0226284379,45131.2993937847
393909.570035357,21401.7320360287,45148.5598619801
