 ,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360
LLO 1,56.701030927835,59.7938144329897,59.7938144329897,62.8865979381443,62.8865979381443,63.9175257731959,59.7938144329897,60.8247422680412,57.7319587628866,57.7319587628866,54.639175257732,54.639175257732,51.5463917525773,53.6082474226804,51.5463917525773,54.639175257732,53.6082474226804,56.701030927835,56.701030927835
LLO 2,56.701030927835,59.7938144329897,59.7938144329897,62.8865979381443,62.8865979381443,63.9175257731959,59.7938144329897,60.8247422680412,57.7319587628866,57.7319587628866,54.639175257732,54.639175257732,51.5463917525773,53.6082474226804,51.5463917525773,54.639175257732,53.6082474226804,56.701030927835,56.701030927835
LLO 3,56.701030927835,59.7938144329897,59.7938144329897,62.8865979381443,62.8865979381443,63.9175257731959,60.8247422680412,60.8247422680412,57.7319587628866,57.7319587628866,54.639175257732,54.639175257732,51.5463917525773,53.6082474226804,51.5463917525773,54.639175257732,53.6082474226804,56.701030927835,56.701030927835
LLO 4,54.639175257732,54.639175257732,54.639175257732,57.7319587628866,61.8556701030928,62.8865979381443,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,56.701030927835,54.639175257732,54.639175257732,54.639175257732,54.639175257732
LLO 5,54.639175257732,54.639175257732,54.639175257732,57.7319587628866,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,56.701030927835,54.639175257732,54.639175257732,54.639175257732,54.639175257732
LLO 6,54.639175257732,54.639175257732,54.639175257732,57.7319587628866,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,61.8556701030928,56.701030927835,54.639175257732,54.639175257732,54.639175257732,54.639175257732
halo 1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
halo 10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
lyapunov 1,98.9690721649485,100,100,100,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,100,100,100,98.9690721649485,98.9690721649485,100,100,100,98.9690721649485
lyapunov 2,98.9690721649485,100,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,100,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485
DRO 1,100,100,100,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,100,100,100,100,100,100,100,100,100
DRO 2,98.9690721649485,97.9381443298969,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,100,100,100,100,100,100,100,100,98.9690721649485
DRO 3,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,97.9381443298969,97.9381443298969,96.9072164948454,97.9381443298969,98.9690721649485,97.9381443298969,98.9690721649485,97.9381443298969,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485,98.9690721649485
DRO 4,94.8453608247423,94.8453608247423,95.8762886597938,95.8762886597938,96.9072164948454,96.9072164948454,96.9072164948454,96.9072164948454,95.8762886597938,95.8762886597938,95.8762886597938,95.8762886597938,95.8762886597938,94.8453608247423,94.8453608247423,94.8453608247423,94.8453608247423,94.8453608247423,94.8453608247423
