 ,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360
LLO 1,0.518134715025907,1.03626943005181,0,1.03626943005181,0,1.03626943005181,0.518134715025907,0.518134715025907,0.518134715025907,1.03626943005181,0,1.03626943005181,0,0.518134715025907,0,1.03626943005181,0.518134715025907,1.03626943005181,0.518134715025907
LLO 2,0.518134715025907,0,0,0,0,0,0.518134715025907,0,0.518134715025907,0,0,0,0,0,0,0,0.518134715025907,0,0.518134715025907
LLO 3,0.518134715025907,0,0,0,0,0,0,0,0.518134715025907,0,0,0,0,0,0,0,0.518134715025907,0,0.518134715025907
LLO 4,1.03626943005181,1.03626943005181,1.03626943005181,1.03626943005181,1.03626943005181,1.03626943005181,1.03626943005181,0.518134715025907,1.03626943005181,1.03626943005181,1.03626943005181,0.518134715025907,0.518134715025907,1.03626943005181,1.03626943005181,1.03626943005181,1.03626943005181,1.03626943005181,1.03626943005181
LLO 5,0.518134715025907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518134715025907,0.518134715025907,0.518134715025907
LLO 6,0.518134715025907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518134715025907,0.518134715025907
halo 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 9,11.9170984455959,1.55440414507772,0,0,0,0,0,0,9.32642487046632,19.1709844559585,22.7979274611399,23.3160621761658,22.7979274611399,22.7979274611399,22.7979274611399,23.3160621761658,22.7979274611399,21.7616580310881,11.9170984455959
halo 10,11.9170984455959,1.55440414507772,0,0,0,0,0,0,9.32642487046632,19.1709844559585,22.7979274611399,23.3160621761658,22.7979274611399,22.7979274611399,22.7979274611399,23.3160621761658,22.7979274611399,21.7616580310881,11.9170984455959
lyapunov 1,0.518134715025907,0,0,2.59067357512953,21.2435233160622,32.1243523316062,32.1243523316062,32.1243523316062,32.1243523316062,16.580310880829,0,0,0,0.518134715025907,0.518134715025907,0.518134715025907,0.518134715025907,0,0.518134715025907
lyapunov 2,1.55440414507772,7.7720207253886,21.2435233160622,31.6062176165803,31.6062176165803,31.6062176165803,31.6062176165803,31.6062176165803,29.5336787564767,16.0621761658031,2.59067357512953,2.59067357512953,2.59067357512953,2.59067357512953,2.59067357512953,2.59067357512953,2.59067357512953,2.59067357512953,1.55440414507772
DRO 1,0,0,6.73575129533679,21.7616580310881,29.0155440414508,29.5336787564767,29.5336787564767,29.0155440414508,29.0155440414508,15.0259067357513,0,0,0,0,0,0,0,0,0
DRO 2,12.4352331606218,23.3160621761658,23.8341968911917,24.3523316062176,24.3523316062176,23.8341968911917,24.3523316062176,24.3523316062176,23.3160621761658,12.4352331606218,1.03626943005181,0,0,0,0,0,0,1.03626943005181,12.4352331606218
DRO 3,12.4352331606218,12.4352331606218,12.4352331606218,12.4352331606218,12.4352331606218,15.0259067357513,19.6891191709845,24.3523316062176,23.8341968911917,19.1709844559585,14.5077720207254,12.9533678756477,12.9533678756477,12.9533678756477,12.4352331606218,12.4352331606218,12.4352331606218,12.4352331606218,12.4352331606218
DRO 4,14.5077720207254,15.0259067357513,15.5440414507772,15.5440414507772,15.5440414507772,15.5440414507772,15.5440414507772,15.5440414507772,15.5440414507772,14.5077720207254,13.4715025906736,12.9533678756477,12.9533678756477,13.4715025906736,13.4715025906736,13.4715025906736,13.4715025906736,13.4715025906736,14.5077720207254
