 ,0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,320,340,360
LLO 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLO 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLO 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLO 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLO 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LLO 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 1,71.9541501242029,72.0171706057382,72.0280896772247,71.9609935704647,71.3192321613461,67.3151153319289,62.7312541475074,58.2572298409469,54.7773256125539,55.0297925897314,57.1504848431753,60.3859140073566,64.2454803402033,67.7827065119798,69.7611406881628,70.8697159352947,71.4861635819826,71.8051513316396,71.95415012414
halo 2,0,0,0,0,0,0,0.0321787045342559,0,0,0.0369364886459973,0,0,0.0256115951501773,0,0,0,0,0,0
halo 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 4,73.980751435216,74.0447794582316,74.053333796847,73.9315999053193,72.4637398614371,67.9649922565351,63.4729439580936,59.0493939797436,55.3513776643881,56.6037846140715,59.4826186166793,63.0734455424263,67.0802840506657,70.2513723544839,71.9923787372954,72.9832924512561,73.5436484154263,73.8389719080779,73.9807514351978
halo 5,0.221576992578986,0.220224245035866,0.217526439683207,0.213389549587854,0.207669983457235,0.216376929842568,0.247002680663825,0.26933412280088,0.573463934954505,0.433410034544358,0.284283283578924,0.271047991731774,0.251048381766198,0.224409764393716,0.213397785319252,0.217651124673283,0.220343049988026,0.221623569143031,0.221576992575232
halo 6,58.7065779374645,58.7726857985267,58.787674458338,58.7859431007804,58.7453805692081,58.462642338841,56.7773047119123,52.7283217688531,52.046792101906,52.0463304575936,52.0457725186335,52.045753799987,52.0464133047296,53.088287256556,55.6896296519815,57.2700038468048,58.1030182144964,58.5204496276818,58.7065779372837
halo 7,1.07262560516175,1.07029411101518,1.08569800952894,1.10696770870098,1.10611955190238,1.08384738847124,1.07148146653569,1.07442839221899,1.10275842773464,0.330340765824048,0,1.1089899314667,1.09474199969232,1.07106556582374,1.0677376967783,1.09473811764914,1.10903710770763,1.10145896290804,1.072625605163
halo 8,36.6975964132817,35.4887919460185,35.0252154213594,34.9012956093463,34.9830738888279,35.5331939485668,37.8711728954964,43.1277633039163,46.1139716398575,46.1162448105064,46.1162199778634,46.1156145375052,46.1154463360105,46.1149864327393,46.1160790787609,46.062177362805,43.6971416261119,39.3981414504119,36.6975964132753
halo 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
halo 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lyapunov 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lyapunov 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRO 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRO 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRO 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRO 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
